"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"
"Q373822"	"https://wikidata.org/wiki/Q373822"	"Eating_disorder"	""	""	""													
"Q930752"	"https://wikidata.org/wiki/Q930752"	"Medical specialty"	"https://wikidata.org/wiki/Q24017414"	"https://wikidata.org/wiki/Q11190"	"https://wikidata.org/wiki/Q2465832
https://wikidata.org/wiki/Q44597158"	"espezialitate mediko"	"https://eu.wikipedia.org/wiki/Espezialitate_mediko"	"especialidad médica"	"https://es.wikipedia.org/wiki/Especialidades_médicas"	"medical specialty"	"https://en.wikipedia.org/wiki/Medical_specialty"	"spécialité médicale"	"https://fr.wikipedia.org/wiki/Spécialité_médicale"	"specializzazione medica"	"https://it.wikipedia.org/wiki/Specializzazione_(medicina)"	"medizinisches Fachgebiet"		
"Q7867"	"https://wikidata.org/wiki/Q7867"	"Psychiatry"	"https://wikidata.org/wiki/Q930752
https://wikidata.org/wiki/Q11862829"	""	"https://wikidata.org/wiki/Q11190
https://wikidata.org/wiki/Q113129019
https://wikidata.org/wiki/Q9418"	"Psikiatria"	"https://eu.wikipedia.org/wiki/Psikiatria"	"psiquiatría"	"https://es.wikipedia.org/wiki/Psiquiatría"	"psychiatry"	"https://en.wikipedia.org/wiki/Psychiatry"	"psychiatrie"	"https://fr.wikipedia.org/wiki/Psychiatrie"	"psichiatria"	"https://it.wikipedia.org/wiki/Psichiatria"	"Psychiatrie"	"https://de.wikipedia.org/wiki/Psychiatrie"	
"Q199906"	"https://wikidata.org/wiki/Q199906"	"Clinical psychology"	"https://wikidata.org/wiki/Q60680430"	"https://wikidata.org/wiki/Q113212893"	"https://wikidata.org/wiki/Q9418
https://wikidata.org/wiki/Q113212893"	"Psikologia kliniko"	"https://eu.wikipedia.org/wiki/Psikologia_kliniko"	"psicología clínica"	"https://es.wikipedia.org/wiki/Psicología_clínica"	"clinical psychology"	"https://en.wikipedia.org/wiki/Clinical_psychology"	"psychologie clinique"	"https://fr.wikipedia.org/wiki/Psychologie_clinique"	"psicologia clinica"	"https://it.wikipedia.org/wiki/Psicologia_clinica"	"klinische Psychologie"	"https://de.wikipedia.org/wiki/Klinische_Psychologie"	
"Q112965645"	"https://wikidata.org/wiki/Q112965645"	"Signs and symptoms"	"https://wikidata.org/wiki/Q24017414"	""	"https://wikidata.org/wiki/Q16889133"			"síntoma o signo"		"symptom or sign"	"https://en.wikipedia.org/wiki/Signs_and_symptoms"	"symptôme ou signe médical"		"sintomo o segno"		"Symptom oder Anzeichen"		
"Q12147"	"https://wikidata.org/wiki/Q12147"	"Health"	"https://wikidata.org/wiki/Q190258
https://wikidata.org/wiki/Q28877
https://wikidata.org/wiki/Q11862829
https://wikidata.org/wiki/Q1047113
https://wikidata.org/wiki/Q2267705"	""	"https://wikidata.org/wiki/Q7189713
https://wikidata.org/wiki/Q16681739
https://wikidata.org/wiki/Q19829125"	"osasun"	"https://eu.wikipedia.org/wiki/Osasun"	"salud"	"https://es.wikipedia.org/wiki/Salud"	"health"	"https://en.wikipedia.org/wiki/Health"	"santé"	"https://fr.wikipedia.org/wiki/Santé"	"salute"	"https://it.wikipedia.org/wiki/Salute"	"Gesundheit"	"https://de.wikipedia.org/wiki/Gesundheit"	
"Q317309"	"https://wikidata.org/wiki/Q317309"	"Mental health"	"https://wikidata.org/wiki/Q3968640"	"https://wikidata.org/wiki/Q113192683"	"https://wikidata.org/wiki/Q1403186
https://wikidata.org/wiki/Q12147"	"Osasun mental"	"https://eu.wikipedia.org/wiki/Osasun_mental"	"salud mental"	"https://es.wikipedia.org/wiki/Salud_mental"	"mental health"	"https://en.wikipedia.org/wiki/Mental_health"	"santé mentale"	"https://fr.wikipedia.org/wiki/Santé_mentale"	"salute mentale"	"https://it.wikipedia.org/wiki/Salute_mentale"	"psychische Gesundheit"	"https://de.wikipedia.org/wiki/Psychische_Gesundheit"	
"Q1346149"	"https://wikidata.org/wiki/Q1346149"	"Complication (medicine)"	"https://wikidata.org/wiki/Q2057971"	""	"https://wikidata.org/wiki/Q2047938
https://wikidata.org/wiki/Q12594804"			"complicación médica"	"https://es.wikipedia.org/wiki/Complicación_(medicina)"	"complication"	"https://en.wikipedia.org/wiki/Complication_(medicine)"	"complication"	"https://fr.wikipedia.org/wiki/Complication_(médecine)"	"complicanza"	"https://it.wikipedia.org/wiki/Complicanza"	"Komplikation"	"https://de.wikipedia.org/wiki/Komplikation"	
"Q4340209"	"https://wikidata.org/wiki/Q4340209"	"Depression (mood)"	"https://wikidata.org/wiki/Q112193867
https://wikidata.org/wiki/Q112965645"	"https://wikidata.org/wiki/Q9357054
https://wikidata.org/wiki/Q77468620"	"https://wikidata.org/wiki/Q188638
https://wikidata.org/wiki/Q99860490
https://wikidata.org/wiki/Q12136"	"Depresio"	"https://eu.wikipedia.org/wiki/Depresio"	"depresión"	"https://es.wikipedia.org/wiki/Depresión"	"mental depression"	"https://en.wikipedia.org/wiki/Depression_(mood)"	"état dépressif"	"https://fr.wikipedia.org/wiki/Humeur_dépressive"	"depressione"	"https://it.wikipedia.org/wiki/Depressione_esistenziale"	"Depression"		
"Q3184856"	"https://wikidata.org/wiki/Q3184856"	"Substance abuse"	"https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q1920219
https://wikidata.org/wiki/Q110207349
https://wikidata.org/wiki/Q83267
https://wikidata.org/wiki/Q61788060"	"erabilera kaltegarri"	"https://eu.wikipedia.org/wiki/Substantzien_abusu"	"abuso de sustancias"	"https://es.wikipedia.org/wiki/Abuso_de_sustancias"	"substance abuse"	"https://en.wikipedia.org/wiki/Substance_abuse"	"abus de substances"	"https://fr.wikipedia.org/wiki/Abus_de_substances"	"abuso di sostanze"		"Drogenmissbrauch"		
"Q209522"	"https://wikidata.org/wiki/Q209522"	"Binge eating disorder"	"https://wikidata.org/wiki/Q12136"	""	"https://wikidata.org/wiki/Q373822"			"trastorno por atracón"	"https://es.wikipedia.org/wiki/Trastorno_por_atracón"	"binge eating disorder"	"https://en.wikipedia.org/wiki/Binge_eating_disorder"	"syndrome d'hyperphagie incontrôlée"	"https://fr.wikipedia.org/wiki/Syndrome_d'hyperphagie_incontrôlée"	"disturbo da alimentazione incontrollata"	"https://it.wikipedia.org/wiki/Disturbo_da_alimentazione_incontrollata"	"Binge Eating"	"https://de.wikipedia.org/wiki/Binge_Eating"	
