lexeme,lemma,statement
L5,ahabia,L5-46729894-6A17-41BC-A14C-497FB93F0994
L6,ahabiatze,L6-DEB014B8-DFA0-4E0F-9EB5-8D079AF8F889
L8,ahagorri,L8-6A261B7C-9E52-41E2-8465-83F865F28D3F
L88,ahalorotasun,L88-5E7981BE-998E-431C-89BD-EBAA1B39581F
L90,ahalti,L90-D421E7F1-18BE-40E5-BABF-D1B683C623E2
L163,abadeki,L163-62C9AAA2-9F83-4701-A3C4-51A2FC760C6C
L165,abadesa,L165-096939D7-A93F-4B73-A897-4A2ED003FF69
L276,abegitsu,L276-502C383C-00C6-429D-88FA-C8BCD1AFF9CD
L278,abegortu,L278-85DBEBB0-9D14-49E1-AA6E-515C9DC271A6
L323,aberasko,L323-9C337AD8-5235-4C42-90EE-C6DCE2185900
L411,habiatxo,L411-D801FD5E-A9A5-43CC-895F-C0A941CE9F8C
L466,haboro,L466-530DA3D5-48D4-4A75-823E-5D59BDF5C3C4
L496,absolutamente,L496-683291A2-0C58-4F30-A980-41C0C13E18C0
L538,abusari,L538-3B146AD6-F96B-407B-8057-8C06A2B66EA2
L569,adapo,L569-0E0D173C-542F-404D-B700-DDC4969C56D8
L649,adesa,L649-499058D5-3E5A-41B8-96B6-A90DCE19233A
L651,adi,L651-DD182090-F2F3-4C6A-BFA6-A1D2313896D0
L751,adirapen,L751-B589078F-0B3F-47BC-BA5A-92DAFC22891A
L783,aditzaile,L783-DC360EED-F1AC-4439-BF75-D226D4D8F60A
L811,administratzaile,L811-0B452BEB-B9CF-48E1-9C59-C9919DBA7194
L842,adoregabe,L842-7B6D4125-89E3-4631-82AC-1910E8F2BE9E
L897,afaitatu,L897-3D640E43-2FCE-40C6-A190-8F8B5AC9509C
L935,aforro,L935-339A34B3-A5F1-42F7-A979-CF51F0D12C2D
L937,afruntatu,L937-BC5B2BC6-D61D-4F58-95F9-4FA6C01AB395
L1014,agertoial,L1014-D3DF68CE-F529-4A17-9BE2-DD1A3C86ADCA
L1069,agintarizkoa,L1069-49CC0275-0ED8-4F06-BE93-FE995D98BB33
L1101,agirikai,L1101-F8B1C068-425B-4060-AC2B-768612223E67
L1124,agorande,L1124-396FADE3-3A6F-4BCC-BB16-C02D860D9251
L1156,agudo,L1156-5E8541D1-EBDC-4D20-B9A1-78E88F66BC7D
L1228,aieneko,L1228-72972B52-E2B3-42A2-885E-8BC0ACF8D18E
L1283,hainbeste,L1283-6F4C0737-8CC8-4B45-9722-447BEC57F642
L1343,aipabide,L1343-5B0C9BD4-4691-4EA4-B287-F1EBAA483125
L1373,airostarzun,L1373-E9E9474D-5AA0-462A-B713-27F3A0CAF485
L1408,aitaginarreba,L1408-2C756DF8-9741-444C-BCE2-B24087DE18D1
L1409,aitagoa,L1409-B2324B58-C0E3-408B-84FF-433D81F6F1FE
L1410,aitagoi,L1410-7F8FE24F-C967-4403-B193-8C11857BEB73
L1411,aitaita,L1411-22B1337F-A3E6-414E-BD16-E31E3AA732D2
L1412,aitaizun,L1412-774C0AF2-B267-4ADC-B1FA-0859098DE2B8
L1413,aitajaun,L1413-D888B347-2E90-452C-B254-77FBD57591B9
L1414,aitakarako,L1414-7A3BF282-C7B2-4682-AD0C-E079783C2B7D
L1415,aitakide,L1415-C31F32BF-2DA4-411A-BBD6-3566437DA666
L1416,aitakilaso,L1416-B0675971-7C94-44C9-BEF6-B9D9390D8099
L1417,aitakiro,L1417-7AB15144-4C3E-4047-A4B6-99F34E670216
L1418,aitako,L1418-BCBD4A7F-E71E-41C9-A68A-7F9972EF62B1
L1419,aitakoi,L1419-51A52493-338C-44A2-A351-D20C4A3CC6B5
L1420,aitakunde,L1420-9CED53B3-8284-448A-A30D-E169EE1CE89F
L1421,aitaldeko,L1421-08CFD4EE-D53C-412F-8CCF-B1E95114F27B
L1422,aitaldi,L1422-A4F853F3-34E6-4380-B85E-946208274419
L1423,aitalehen,L1423-7E55FD26-24EB-4311-B72B-BEA41C3F3049
L1424,aitamak,L1424-0EAA8250-BEA5-4744-B2CF-15BD95B31B01
L1425,aitamatu,L1425-C68FCAA9-42EF-4558-ACCF-63958F2707F2
L1426,aitamatzako,L1426-AE0D09ED-36C8-42E1-AF32-D55C4657AC84
L1427,aitamen,L1427-9585E0B9-799E-4E37-91DA-797B97B40342
L1428,aitanditxarko,L1428-88C6E980-1907-41C8-8ED4-FFD4064C0251
L1429,aitanza,L1429-FF258762-96DA-4EF6-A53D-2A27C282EDF6
L1430,aitañi,L1430-74E07491-5E9A-4C16-B40F-1167A0E3E2F0
L1431,aitaño,L1431-47218A34-0858-4C86-8282-D8677E736E8B
L1432,aitaorde,L1432-09B5522F-5BFF-460D-8EED-317E1ED34277
L1433,aitapen,L1433-1A9E45CF-07B3-4FA2-B4C1-588269864B2F
L1434,aitapendu,L1434-09D5CFFC-BF98-4A98-AE06-694E6E3B0900
L1435,aitapentsu,L1435-EE7523D5-97D9-4F33-9A6D-BE22BEACB3A5
L1436,aitaren,L1436-D9C1B909-901B-4352-AEFE-BC436585DD6D
L1437,aitarenka,L1437-E023B5CC-3939-4652-8D8C-FF9CBBC8FE8E
L1438,aitasaba,L1438-9BAB3DCB-65E7-4551-88E6-2E41C5405B77
L1439,aitasaindutasun,L1439-2041FF4B-5074-41F1-8F32-4411FC09AE7B
L1440,aitaso,L1440-62A438BF-C602-4E42-A74C-81FE34E2B8B4
L1441,aitasotu,L1441-4184DF9D-D16F-4D3E-999F-51C94BCF9353
L1442,aitatar,L1442-C0408DE9-952A-4306-A21B-AD8E6A449D18
L1443,aitatasun,L1443-1D24416B-415B-464E-9863-A25A20807EFF
L1444,aitatiar,L1444-BEF5391A-712E-4F9F-A045-89CD5D8871FF
L1445,aitatto,L1445-55B448B1-CE73-4CA7-AB46-396899CA2AC8
L1446,aitatu,L1446-D4E6F715-1C3E-428F-B135-8C7361969825
L1447,aitatxi,L1447-EA6137B0-86B1-4B1F-8A37-B2DED2F9E22D
L1448,aitatxo,L1448-5F219E38-F10E-4A68-B2A7-806A7954BA66
L1449,aitatzako,L1449-67886173-9115-46C7-9346-CD0464C27327
L1450,aitatze,L1450-4CBE91FE-9B14-4FF5-8EB3-E7E338FFFC7A
L1451,aitaurren,L1451-74C48419-1A82-405B-8C4D-D7FBDF394916
L1452,aitaxo,L1452-C6E3F01B-C7B4-4C50-9BE9-2E5C3E29E2CC
L1453,aitaxun,L1453-C282A399-29B1-42F2-A11F-E483025A3384
L1454,aitazko,L1454-8FA482A4-4775-4006-8F0B-E91128C7F546
L1455,aiterri,L1455-4A2E06C0-E697-4878-9A77-8B09283FD137
L1456,aiterrizale,L1456-B44840A2-09E1-4CC1-B5B4-499F2DF89C1A
L1457,ahitgarri,L1457-1052E2C4-146C-4418-B245-A9EA869A598E
L1458,aitita,L1458-65C88D74-7052-4B91-A68E-8049E2A01E47
L1459,aitobe,L1459-0C4A3F66-F853-4858-A1A7-7EA9C68E9F34
L1460,aitona,L1460-1EF1E03E-63EF-4CCD-94D3-AC88FFCAB505
L1461,aitonatxo,L1461-029E4F74-C114-4D6A-96FE-CD18E32FC309
L1462,aitondu,L1462-39903BC5-814E-47E6-8593-DFB9E167E870
L1463,aitontasun,L1463-16965D07-6BA6-419E-9F9C-B7D3FEFBE928
L1464,aitor,L1464-C86E1111-AA52-4C17-AE3C-2BEACAFB544E
L1465,aitoren,L1465-3B43B1DE-ACEF-4693-8554-7AC85E68CAD5
L1466,aitorgarri,L1466-E73C0D3A-4D07-4A62-AEC4-C6A65CD31E93
L1467,aitorgile,L1467-E69727DA-1AFB-4DDB-B176-12A076984DF9
L1468,aitorketa,L1468-DE1E8142-CF71-468F-823D-35933BEDA073
L1469,aitorkide,L1469-D0CE957F-58F6-42AF-A8A0-CA056853A5C2
L1470,aitorkizun,L1470-5A7349A7-3544-4ED1-821C-3E0071F14C48
L1471,aitorkun,L1471-F3568A06-F360-4BDB-BA95-0363292AFBE0
L1472,aitorkuntza,L1472-519F3DDB-780F-414D-A580-2E0ACBB555D0
L1473,aitorlari,L1473-BD4F3727-DE50-444C-8EF0-C80E2DA0CB0E
L1474,aitorle,L1474-C85F9686-A062-4F6E-91CF-423EB81C4750
L1475,aitorleku,L1475-D0B55F15-272E-443D-852D-0F99A86DE60E
L1476,aitormen,L1476-C1BA0125-0210-4682-BC41-7D8B86BC219B
L1477,aitormendu,L1477-B2CA40B5-82E5-45E5-95A5-9E64B3B5EDB9
L1478,aitorpen,L1478-115F6911-733B-46AF-BEF1-5DDC4B7F05DE
L1479,aitorrera,L1479-9923CBC4-C5CC-45F5-9A76-412D413F652F
L1480,aitortegi,L1480-E6EBE515-2955-44EF-A6B7-405974165F06
L1481,aitortoki,L1481-E2044707-67C7-406C-800F-E8F547FF43F6
L1482,aitortu,L1482-7A462804-4BB4-49EA-B761-CCBA02FF8C63
L1483,aitortza,L1483-8C638191-C9BC-4B43-A55E-14AC38B06EF8
L1484,aitortzaile,L1484-C0630773-37BD-4FAC-98C2-3616DC8829C4
L1485,aitortzapen,L1485-A0727DD2-CFF8-41AD-A518-8E9EDCE31409
L1486,aitortze,L1486-5C2B80C7-CC6E-4F8A-8C96-47C6EA338CBE
L1487,ahitu,L1487-C4C6FC30-5CB1-4748-8337-2D5760D374E3
L1488,haitz,L1488-61210FCB-DF36-4469-9B68-CC8E3DA791AF
